"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","November 19, 2015 Thursday","","Grappling With ISIS and the Refugees","779 words","The New York Times","Section A; Column 0; Editorial Desk; LETTERS; Pg. 30","",
"By JULFIKAR ALI MANIK and ELLEN BARRY; Julfikar Ali Manik reported from Dhaka, and Ellen Barry from New Delhi.","November 19, 2015 Thursday","","A Catholic Missionary Is Attacked in Bangladesh","547 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 10","",
"By ASHLEY PARKER","November 19, 2015 Thursday","","Ground Forces Needed to Vanquish ISIS, Bush Tells Cadets at Citadel","792 words","The New York Times","Section A; Column 0; National Desk; FIRST DRAFT; Pg. 22","",
"By TRIP GABRIEL","November 19, 2015 Thursday","","Ex-C.I.A. Officer Gave Views for Writing of Carson Op-Ed","592 words","The New York Times","Section A; Column 0; National Desk; FIRST DRAFT; Pg. 22","",
"By STEVEN ERLANGER and PETER BAKER; Steven Erlanger reported from Paris, and Peter Baker from Washington. Somini Sengupta contributed reporting from the United Nations, Michael D. Shear from Manila, and Liz Alderman from Paris.","November 19, 2015 Thursday","","Allies of Convenience","1320 words","The New York Times","Section A; Column 0; Foreign Desk; NEWS ANALYSIS; Pg. 1","",
"By NICOLE PERLROTH and DAVID E. SANGER; J. David Goodman contributed reporting.","November 19, 2015 Thursday","","F.B.I. Director Repeats Call That Ability to Read Encrypted Messages Is Crucial","934 words","The New York Times","Section A; Column 0; Foreign Desk; CYBERSECURITY; Pg. 17","",
"By KATRIN BENNHOLD; Dan Bilefsky contributed reporting from Paris, and Kimiko de Freytas-Tamura from Brussels.","November 19, 2015 Thursday","","Assaults Highlight Jihadists' Easy Path to Syria and Back","1603 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 14","",
"By NICHOLAS KRISTOF","November 19, 2015 Thursday","","Betraying Ourselves","828 words","The New York Times","Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 31","",
"By DIONNE SEARCEY and MARC SANTORA; Dionne Searcey reported from Dakar, and Marc Santora from New York. Kabiru Anwar contributed reporting from Yola, Nigeria.","November 19, 2015 Thursday","","Boko Haram Tops ISIS in Ranking Terror Groups","761 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 6","",
"By RONALD K. NOBLE. Ronald K. Noble was secretary general of Interpol from 2000 to 2014.","November 19, 2015 Thursday","","Europe's Welcome Sign to Terrorists","854 words","The New York Times","Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTOR; Pg. 31","",
"By IAN FISHER; Reporting was contributed by Anne Barnard and Hwaida Saad from Beirut, Lebanon; Richard A. Oppel Jr., Stephen Farrell and Nicholas Kulish from New York; Matthew Rosenberg, Mark Mazzetti, Matt Apuzzo and Eric Schmitt from Washington; and C. J. Chivers.. Ian Fisher covered Iraq regularly in 2003 and 2004 and returned on reporting trips several times thereafter.","November 19, 2015 Thursday","","In Rise of ISIS, Many Strands of Blame","3624 words","The New York Times","Section A; Column 0; Foreign Desk; STATE OF TERROR; Pg. 1","",
"By LILIA BLAISE, LIZ ALDERMAN and AURELIEN BREEDEN; Lilia Blaise reported from St.-Denis, and Liz Alderman and Aurelien Breeden from Paris. Reporting was contributed by Daphné Anglès and Elian Peltier from Paris, Kimiko de Freytas-Tamura and Milan Schreuer from Brussels, and Katrin Bennhold and Hannah Olivennes from London.","November 19, 2015 Thursday","","Paris Is on Edge as Fate of Attacks' Organizer Is Still a Question Mark","1448 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 1","",
"By C.J. CHIVERS","November 19, 2015 Thursday","","Analyzing Jihadists' Claim of a Bomb in a Soda Can","683 words","The New York Times","Section A; Column 0; Foreign Desk; ISIS PROPAGANDA; Pg. 13","",
"By ALISON SMALE; Reporting was contributed by Ceylan Yeginsu from Istanbul; Dan Bilefsky from Paris; James Kanter from Brussels; Tim Arango from Essex Junction, Vt.; and Elisabeth Malkin and Azam Ahmed from Mexico City.","November 19, 2015 Thursday","","Turkey's Role as Migrant Gateway Is Source of New Urgency for E.U.","1268 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 13","",
"By KATHRYN SHATTUCK","November 19, 2015 Thursday","","What to Watch Thursday","441 words","The New York Times","Section C; Column 0; The Arts/Cultural Desk; Pg. 7","",
"By HANNA INGBER; Lela Moore and Jeffrey Marcus contributed reporting.","November 19, 2015 Thursday","","Reigniting the Debate Over Civil Liberties vs. National Security","1485 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 12","",
"DIDI KIRSTEN TATLOW","November 19, 2015 Thursday","","Chinese Debate Proper Response to Hostage's Killing","939 words","The New York Times Blogs(Sinosphere)","WORLD; asia","",
"PATRICK HEALY","November 19, 2015 Thursday","","Bernie Sanders to Invoke Roosevelt in Speech Defining His Vision of 'Democratic Socialism'","409 words","The New York Times Blogs(First Draft)","US; politics","",
"MICHAEL GONCHAR","November 19, 2015 Thursday","","Illustrating Ideas: Student Winners From Our Editorial Cartoon Contest","304 words","The New York Times Blogs(The Learning Network)","EDUCATION","",
"AMY CHOZICK","November 19, 2015 Thursday","","Hillary Clinton Presents Her Plan to Battle ISIS","512 words","The New York Times Blogs(First Draft)","US; politics","",
"MAGGIE HABERMAN","November 19, 2015 Thursday","","Major Hillary Clinton Donor Urges 'More Scrutiny' of Muslims","384 words","The New York Times Blogs(First Draft)","US; politics","",
